Date,Open,High,Low,Close,Adj Close,Volume
2023-01-26,4.140000,4.140000,3.466000,3.650000,3.650000,559400
2023-01-27,3.460000,3.470000,3.060000,3.180000,3.180000,343900
2023-01-30,3.310000,3.350000,3.060000,3.240000,3.240000,233400
2023-01-31,3.240000,3.360000,3.020000,3.160000,3.160000,273000
2023-02-01,3.230000,3.230000,3.030000,3.160000,3.160000,378000
2023-02-02,3.280000,3.280000,3.100000,3.180000,3.180000,563800
2023-02-03,3.200000,3.250000,3.060000,3.200000,3.200000,231100
2023-02-06,3.180000,3.200000,3.042000,3.110000,3.110000,227600
2023-02-07,3.050000,3.140000,3.010000,3.130000,3.130000,125700
2023-02-08,3.130000,3.174000,2.790000,2.860000,2.860000,200400
2023-02-09,2.930000,2.930000,2.710000,2.750000,2.750000,112200
2023-02-10,2.750000,2.750000,2.410000,2.470000,2.470000,215900
2023-02-13,2.450000,2.460000,2.300000,2.375000,2.375000,101300
2023-02-14,2.350000,2.422000,2.250000,2.390000,2.390000,54700
2023-02-15,2.340000,2.550000,2.340000,2.450000,2.450000,82800
2023-02-16,2.410000,2.530000,2.240000,2.292000,2.292000,87800
2023-02-17,2.280000,2.330000,2.110000,2.240000,2.240000,71700
2023-02-21,2.170000,2.290000,2.110000,2.120000,2.120000,57900
2023-02-22,2.110000,2.230000,2.070000,2.160000,2.160000,34600
2023-02-23,2.180000,2.200000,2.020000,2.060000,2.060000,153400
2023-02-24,2.040000,2.100000,1.860000,1.950000,1.950000,115400
2023-02-27,1.890000,2.070000,1.890000,2.066000,2.066000,61000
2023-02-28,2.031000,2.120000,1.950000,2.040000,2.040000,63300
2023-03-01,2.040000,2.240000,2.030000,2.060000,2.060000,77100
2023-03-02,2.000000,2.055000,1.830000,1.880000,1.880000,85000
2023-03-03,1.940000,2.000000,1.870000,1.950000,1.950000,65400
2023-03-06,1.950000,1.950000,1.850000,1.910000,1.910000,25800
2023-03-07,1.910000,1.950000,1.790000,1.820000,1.820000,30600
2023-03-08,1.790000,1.850000,1.675000,1.710000,1.710000,37900
2023-03-09,1.690000,1.770000,1.517000,1.580000,1.580000,168300
2023-03-10,1.610000,1.620000,1.500000,1.500000,1.500000,75400
2023-03-13,1.470000,1.550000,1.420000,1.550000,1.550000,76300
2023-03-14,1.540000,1.700000,1.510000,1.540000,1.540000,96400
2023-03-15,1.520000,1.590000,1.400000,1.450000,1.450000,65200
2023-03-16,1.410000,1.460000,1.353000,1.400000,1.400000,120300
2023-03-17,1.400000,1.410000,1.220000,1.290000,1.290000,75700
2023-03-20,1.290000,1.301000,1.230000,1.230000,1.230000,44700
2023-03-21,1.270000,1.300000,1.160000,1.220000,1.220000,97700
2023-03-22,1.197000,1.239000,1.150000,1.160000,1.160000,74900
2023-03-23,1.170000,1.270000,1.110000,1.220000,1.220000,115700
2023-03-24,1.185000,1.200000,1.170000,1.180000,1.180000,36200
2023-03-27,1.230000,1.300000,1.193000,1.300000,1.300000,80500
2023-03-28,1.299000,1.350000,1.250000,1.250000,1.250000,87200
2023-03-29,1.290000,1.310000,1.250000,1.310000,1.310000,12200
2023-03-30,1.320000,1.410000,1.320000,1.330000,1.330000,33500
2023-03-31,1.323000,1.395000,1.320000,1.330000,1.330000,64300
2023-04-03,1.200000,1.220000,1.120000,1.160000,1.160000,168500
2023-04-04,1.171000,1.230000,1.165000,1.180000,1.180000,28000
2023-04-05,1.180000,1.189000,1.120000,1.120000,1.120000,29000
2023-04-06,1.132000,1.148000,1.080000,1.110000,1.110000,28000
2023-04-10,1.110000,1.150000,1.070000,1.100000,1.100000,24400
2023-04-11,1.100000,1.150000,1.080000,1.080000,1.080000,84400
2023-04-12,1.070000,1.139000,1.060000,1.100000,1.100000,30800
2023-04-13,1.100000,1.110000,1.070000,1.090000,1.090000,49400
2023-04-14,1.060000,1.120000,1.040000,1.077000,1.077000,145000
2023-04-17,1.110000,1.130000,1.050000,1.100000,1.100000,122700
2023-04-18,1.110000,1.140000,1.070000,1.140000,1.140000,67400
2023-04-19,1.130000,1.160000,1.110000,1.130000,1.130000,47600
2023-04-20,1.130000,1.380000,1.130000,1.340000,1.340000,282700
2023-04-21,1.360000,1.360000,1.160000,1.250000,1.250000,138400
2023-04-24,1.190000,1.245000,1.130000,1.200000,1.200000,37000
2023-04-25,1.250000,1.250000,1.180000,1.220000,1.220000,57900
2023-04-26,1.240000,1.260000,1.130000,1.220000,1.220000,40300
2023-04-27,1.230000,1.267000,1.180000,1.200000,1.200000,35600
2023-04-28,1.240000,1.240000,1.170000,1.170000,1.170000,35500
2023-05-01,1.280000,1.290000,1.190000,1.210000,1.210000,62800
2023-05-02,1.240000,1.241000,1.200000,1.230000,1.230000,37700
2023-05-03,1.210000,1.250000,1.180000,1.230000,1.230000,22500
2023-05-04,1.210000,1.220000,1.170000,1.216000,1.216000,22700
2023-05-05,1.200000,1.230000,1.175000,1.200000,1.200000,35800
2023-05-08,1.170000,1.260000,1.140000,1.170000,1.170000,32100
2023-05-09,1.220000,1.260000,1.130000,1.160000,1.160000,18200
2023-05-10,1.100000,1.400000,1.100000,1.240000,1.240000,222800
2023-05-11,1.240000,1.270000,1.155000,1.220000,1.220000,22700
2023-05-12,1.160000,1.250000,1.160000,1.200000,1.200000,15600
2023-05-15,1.180000,1.230000,1.130000,1.220000,1.220000,34100
2023-05-16,1.200000,1.340000,1.200000,1.300000,1.300000,181800
2023-05-17,1.300000,1.460000,1.261000,1.300000,1.300000,85000
