Quote,Date,Open,High,Low,Close,Adj Close,Volume
TSLA,2023-01-26,159.970001,161.419998,154.759995,160.270004,160.270004,234815100
TSLA,2023-01-27,162.429993,180.679993,161.169998,177.899994,177.899994,306590600
TSLA,2023-01-30,178.050003,179.770004,166.5,166.660004,166.660004,230878800
TSLA,2023-01-31,164.570007,174.300003,162.779999,173.220001,173.220001,196813500
TSLA,2023-02-01,173.889999,183.809998,169.929993,181.410004,181.410004,213806300
TSLA,2023-02-02,187.330002,196.75,182.610001,188.270004,188.270004,217448300
TSLA,2023-02-03,183.949997,199.0,183.690002,189.979996,189.979996,232662000
TSLA,2023-02-06,193.009995,198.169998,189.919998,194.759995,194.759995,186188100
TSLA,2023-02-07,196.429993,197.5,189.550003,196.809998,196.809998,186010300
TSLA,2023-02-08,196.100006,203.0,194.309998,201.289993,201.289993,180673600
TSLA,2023-02-09,207.779999,214.0,204.770004,207.320007,207.320007,215431400
TSLA,2023-02-10,202.229996,206.199997,192.889999,196.889999,196.889999,204754100
TSLA,2023-02-13,194.419998,196.300003,187.610001,194.639999,194.639999,172475500
TSLA,2023-02-14,191.940002,209.820007,189.440002,209.25,209.25,216455700
TSLA,2023-02-15,211.759995,214.660004,206.110001,214.240005,214.240005,181006400
TSLA,2023-02-16,210.779999,217.649994,201.839996,202.039993,202.039993,229586500
TSLA,2023-02-17,199.990005,208.440002,197.5,208.309998,208.309998,213738500
TSLA,2023-02-21,204.990005,209.710007,197.220001,197.369995,197.369995,180018600
TSLA,2023-02-22,197.929993,201.990005,191.779999,200.860001,200.860001,191828500
TSLA,2023-02-23,203.910004,205.139999,196.330002,202.070007,202.070007,146360000
TSLA,2023-02-24,196.330002,197.669998,192.800003,196.880005,196.880005,142228100
TSLA,2023-02-27,202.029999,209.419998,201.259995,207.630005,207.630005,161028300
TSLA,2023-02-28,210.589996,211.229996,203.75,205.710007,205.710007,153144900
TSLA,2023-03-01,206.210007,207.199997,198.520004,202.770004,202.770004,156852800
TSLA,2023-03-02,186.740005,193.75,186.009995,190.899994,190.899994,181500700
TSLA,2023-03-03,194.800003,200.479996,192.880005,197.789993,197.789993,154193300
TSLA,2023-03-06,198.539993,198.600006,192.300003,193.809998,193.809998,128100100
TSLA,2023-03-07,191.380005,194.199997,186.100006,187.710007,187.710007,148125800
